	HSBC	CLP	CK
113	92.667	31.167	64.75
114	92.333	31.083	65
115	92.333	30.917	64.5
116	94	31.25	64.5
117	95	31.083	63.75
118	94.667	30.917	63.5
119	95	31.5	64.75
120	97	31.417	66.25
121	97	31.417	66.25
122	100	32	71.5
123	98.667	31.75	71.75
124	98.667	31.917	70.75
125	97.667	32.417	70.5
126	97.333	31.917	71
127	96.333	31.583	71
128	95.333	31.583	71.5
129	94.333	31.417	69
130	94.333	31.417	69
131	99	31.75	72.5
132	101	31.583	74
133	100.5	31.833	72.25
134	101	31.417	71.75
135	100.5	31.5	72
136	99.75	31.75	72.25
137	99	31.5	71
138	99.25	31.167	70.5
139	96.25	31.167	70
140	96.5	31.75	70
141	96	31.167	68.5
142	95.75	30.917	68
143	95.5	31.083	70
144	93.5	30.917	68.75
145	94	30.833	68
146	92.25	30.417	66.25
147	90	30	65.25
148	91.25	29.667	67.25
149	91.25	29.5	68
150	90.5	29.5	67.75
151	91.5	29.333	68
152	94.25	29.333	69
153	94.5	29.417	69.25
154	97	29.583	69.25
155	94.75	29.5	67.5
156	93.75	29.5	67.25
157	91.25	29.333	67.25
158	89.75	28.833	65.75
159	88.75	28.333	64.25
160	91.25	28.417	65.5
161	91.25	28.667	63.25
162	92.75	29.333	63.75
163	93	29.417	63.75
164	93.75	29.917	65.5
165	95.75	30.083	67
166	96.25	30.5	68.75
167	96.25	30.5	69.5
168	96.75	30.167	69.75
169	96	30.25	69.75
170	97.75	30.25	70.5
171	96	30.083	68
172	97.75	31.083	69
173	96.25	30.667	67.5
174	96.75	30.583	68.5
175	95	30.083	67.5
176	93.75	29.75	66.75
177	95	29.75	68
178	95.5	29.917	68.25
179	95.75	29.75	68.75
180	97	31.083	70.75
181	96.5	30.667	71.5
182	96	30.5	72
183	94.75	31	72
184	93	30.333	69.25
185	93	30.333	69.25
186	92.25	30.833	69.25
187	92.25	30.917	69.25
188	91.75	31.25	68.5
189	90.25	30.833	67.5
190	90.5	31.5	68
191	90.25	31.167	67.25
192	89.5	30.5	65.25
193	89.75	30.667	66
194	89.5	30.667	65.5
195	89	30.417	64.75
196	89	30.417	64.75
197	90.25	31.5	63.5
198	89.75	31.833	64.75
199	89.25	32.083	63.75
200	91	32.5	63.5
201	90.5	33	63.75
202	90	32.25	63.75
203	89	31.417	62
204	86.5	30.667	62.25
205	86.25	31.167	61.25
206	84.75	30.083	60
207	84.75	30.083	60
208	83.25	29.667	60.25
209	86.25	30.083	65.75
210	85.75	29.833	67.5
211	87.25	30.667	70.25
212	88.75	30.75	69.25
213	87.5	30.583	69
214	88	29.917	66.75
215	87.75	29.667	68.5
216	93.25	29.667	70.5
217	93.75	29.833	70.75
218	93.5	29.833	70.5
219	92.25	29.917	69.75
220	94.25	30	72.25
221	94.5	29.667	71.25
222	94	29.917	71.5
223	95.25	29.583	70.75
224	97.75	30	72.75
225	97	29.75	73
226	96.5	29.75	76
227	98	29.667	81.25
228	98.75	30.167	84.25
229	102.5	30.25	83.25
230	102.5	30.25	84
231	102.5	30.583	87.5
232	103	31.417	87.75
233	102.5	30.917	88
234	105.5	30.833	87
235	103	30.5	83
236	105	30.917	85
237	105	30.667	86
238	103	30.167	87.25
239	102	30.583	90.25
240	102.5	30.667	94.5
241	104	30.583	94.75
242	104	31	95.5
243	104	30.833	94.75
244	102.5	31.25	95
245	104.5	30.833	98.25
246	105	31.167	97.75
247	107	31.083	99.5
248	106	30.917	97.5
249	104.5	30.333	93.75
250	102	30.167	93.5
251	104.5	30.833	95.25
252	104.5	30.417	98
253	105.5	30.083	98
254	105	29.75	96.75
255	104.5	29.75	96.75
256	108	29.917	98.5
257	108	29.917	98.5
258	107	30	98.75
259	106	29.917	97
260	109	29.833	98.75
261	109	29.833	98.75
262	108	29.583	101.5
263	105.5	29.5	98.25
264	100.5	29.25	91.25
265	97.5	28.833	86.75
266	100.5	29.083	88.25
267	99.75	29.417	89.5
268	98	29.25	91.5
269	96.25	29.25	90
270	96.75	28.75	88.75
271	96.5	28.833	87.75
272	96.5	29	88
273	96	28.75	93
274	93.25	28.25	92
275	91.75	28.083	92.25
276	90.5	27.917	92.5
277	92.75	27.833	94
278	90.5	27.75	94.5
279	91.25	27.75	98
280	93	27.833	101.5
281	94.75	27.5	103
282	92.25	27.083	98.25
283	92	26.75	99
284	91.5	27.167	102
285	91.25	26.583	102.5
286	91.25	26.583	102.5
287	91.25	26.583	102.5
288	89	25.667	105
289	90.75	25.833	109.5
290	90	25.667	112
291	90.5	25	120
292	87.5	24.125	114.5
293	87.75	24.417	108
294	92.5	26.75	109
295	93	27.667	108
296	91.25	27.417	104
297	89.5	26.667	101.5
298	88.75	27.083	99.5
299	88.25	27.5	104
300	90.25	27.417	107
301	89.75	27.5	104.5
302	89	27.333	100
303	89.25	28.667	103.5
304	89.25	27.25	101
305	88	27.833	101.5
306	87.25	27.417	102
307	86.75	27	107.5
308	85.5	27.833	110
309	88	28.5	110
310	87.75	28.917	106.5
311	87.75	28.083	110
312	85.25	27.25	107
313	85	26.917	103
314	85.25	28.083	104
315	86	28.833	100.5
316	90	29.417	106
317	88.5	28.333	104.5
318	87.5	28.083	108
319	89.5	28.167	112
320	89.75	28.75	116
321	92	29.5	114
322	94.5	29.167	116
323	93	29	119
324	92	29.333	119
325	91.25	28.917	117
326	91	29.083	116.5
327	87.5	28.833	110.5
328	87.5	28.833	110.5
329	88.5	29.167	104
330	87.5	29.417	106
331	87.25	29	107
332	86.5	28.667	107.5
333	87.25	28.75	105
334	87.5	29.167	103.5
335	87	28.583	101
336	87	29.25	99
337	85.5	28.5	88.5
338	86.5	28.583	90
339	88	28.917	88.25
340	87.75	28.833	87.25
341	87.75	28.833	87.25
342	87.75	28.833	87.25
343	88	29.083	86.5
344	88	28.75	85.5
345	87.25	28.917	88.5
346	87	29.083	93
347	87	29.083	93
348	86.5	28.583	92.75
349	86.25	28.917	92
350	86	29	87.25
351	85.75	29.417	85.5
352	84.25	29.417	83.25
353	84.5	29.5	80.5
354	84	29.417	79.25
355	84	29.417	79.25
356	85.25	30	82.75
357	85.25	29.75	81.75
358	85.5	30.833	83.5
359	85	30	79.75
360	83.25	28.75	72.75
361	83.75	30	73.25
362	83.25	30.833	73.75
363	83.75	31.167	73.75
364	82.75	31	72.5
365	83	30.583	72.5
366	83.25	31.333	70.5
367	84	30.833	70.25
368	84.75	30.25	70
369	86	30.167	71.25
370	86.75	30.417	74.75
371	87	30.25	77.5
372	89.5	30	78.5
373	89.5	30	78.5
374	92.25	30	77.75
375	91.25	30.5	78
376	91.25	30.833	80.75
377	91.5	31.083	80.75
378	91.25	30.667	79.25
379	92.75	30.833	82.25
380	93.5	30.917	84
381	93.25	30.917	87.25
382	91.5	30.917	87.5
383	90.75	30.917	85.75
384	90.25	30.667	86.75
385	88.5	29.75	85.75
386	86.5	30	84.25
387	87.25	30.25	86.25
388	87.25	30.5	86.75
389	87.5	30.417	87.25
390	87.25	30	85.25
391	89	30.25	86.25
392	88.75	30.583	87.25
393	89.25	30.083	88.75
394	90.25	29.917	90.75
395	89.25	29.583	91
396	89.5	29.083	91.5
397	90.5	29.083	93.25
398	93.75	28.833	93.5
399	96.5	28.917	95.5
400	97.5	29	93
401	96.75	29.083	96.25
402	98.5	29.083	96.75
403	96.5	28.833	94.5
404	98	28.833	96.25
405	98.5	29	99
406	100	28.75	101.5
407	101	28.75	100.5
408	102	28.667	96.75
409	105	28.917	97
410	105	29.667	94.5
411	103.5	29.583	93.75
412	102.5	29.333	92
413	102.5	29.167	91.75
414	105	29.583	93.75
415	104	29.5	94.25
416	105.5	29.5	95.75
417	108	29.333	97.25
418	106.5	29.083	96.25
419	107	29.083	95.75
420	108	29.5	96
421	109	29.5	95.75
422	107	29.417	95.25
423	109.5	29.25	97.75
424	110	29.333	101
425	109	29.25	102.5
426	108.5	29.167	100
427	110	29.167	100
428	113.5	29	102
429	113	29.083	102
430	115	29.75	102.5
431	113	29.583	101
432	108.5	29.667	98.75
433	111	29.833	99.25
434	110	30	100.5
435	111	29.167	101.5
436	113.5	29.333	103.5
437	116	29.667	105.5
438	113.5	29.583	104
439	114.5	29.833	103.5
440	114.5	29.917	102
441	113.5	30.25	101
442	113.5	30.25	99.5
443	111	30.25	96.75
444	111	30.25	96.75
445	110.5	30.417	97.25
446	111	30.5	95.5
447	106	30.417	91.75
448	105	30.75	94.5
449	106	29.917	93
450	105.5	29.333	91
451	103	29.25	89.25
452	108	29.083	92.25
453	108.5	28.417	91.25
454	109.5	28.167	92.25
455	108.5	28.25	93
456	109	29.167	94.25
457	109	29.167	94.25
458	112	29.083	92.75
459	111	28.917	94.25
460	111.5	28.583	95.75
461	111.5	28.583	95.75
462	109.5	28.667	93
463	109	28.417	91.75
464	104.5	28.667	91
465	104.5	29.083	91
466	102.5	29.25	89.25
467	106	30.25	89.5
468	108.5	29.833	89.5
469	107	30.167	86.25
470	105	29.833	86.75
471	107.5	29.667	89.75
472	110.5	29.083	89.25
473	110.5	29.75	88.5
474	111	29.583	87.75
475	108	29.917	86.75
476	107.5	30.167	85
477	107	30.083	85.5
478	108.5	30.333	86.25
479	113	30.167	90.5
480	113	29.5	92
481	116.5	29.5	93.25
482	116	29.75	92.25
483	116.5	29.75	94
484	115.5	29.833	93
485	115	30.083	91.5
486	115	30.25	90.75
487	111	29.667	88.75
488	113.5	30	91
489	112.5	29.75	90.5
490	114	29.833	91
491	113.5	29.833	90.75
492	114.5	30	91.75
493	113.5	29.667	91.75
494	111	30	90.25
495	107.5	30.25	89.25
496	107	30.333	89.5
497	109	30.417	90.5
498	110	30.583	91
499	107.5	30.25	90
500	104.5	30.333	87.75
501	106.5	30.25	88.5
502	107	30.583	88.25
503	109.5	30.75	90.25
504	113.5	30.5	96.5
505	114	30.667	97.75
506	114.5	31.167	98.75
507	115.5	31.333	98.5
508	116	31.417	99.75
509	117.5	31.833	101.5
510	116.5	31.333	102.5
511	111.5	30.583	98.75
512	110.5	30.833	99.75
513	114	30.5	101
514	112.5	31.333	100.5
515	111	31.917	99.5
516	112	32	99
517	112	32	99
518	112	32	99
519	111.5	31.667	97.75
520	113	32	98.75
521	115.5	32.417	99.75
522	115.5	32.417	99.75
523	113	31.75	99.5
524	112	32.167	98.25
525	116	31	104
526	118.5	31.25	104
527	117.5	31.25	103.5
528	119	31.917	103
529	116.5	31.667	103
530	115	30.917	99
531	115	30.75	101.5
532	113.5	30.333	101.5
533	114	30.333	103
534	113.5	30.083	103
535	115.5	30	104.5
536	116	30	105
537	117	30.167	104.5
538	118.5	30.417	102.5
539	118.5	30.417	102.5
540	118.5	30.417	102.5
541	118.5	30.417	102.5
542	121	29.667	102.5
543	120.5	30	100.5
544	121.5	30.333	103.5
545	120	31.167	103.5
546	119.5	31.5	102
547	119	31.667	102
548	120.5	31.833	102
549	121	32.25	102.5
550	120.5	32.333	101.5
551	120	32.333	100
552	119	31.75	98.25
553	120	31.75	99
554	120.5	31.833	99.5
555	120.5	32.083	98
556	120	31.75	97.5
557	118.5	32.333	98
558	118.5	32.25	97.75
559	117.5	32.083	97.75
560	115.5	32.333	95.25
561	117	32.833	94
562	116.5	33.417	94.5
563	107.5	33.5	92.75
564	105	34.083	94.5
565	104	33.667	92
566	103.5	33.833	88.25
567	102.5	34.167	89
568	102.5	34.25	92.75
569	102.5	33.5	92.5
570	103.5	33.167	92.75
571	104.5	33.333	92
572	102.5	32.667	89
573	99	33.25	88
574	96	33.25	87.25
575	95	33.667	90
576	95.5	32.833	88.75
577	92.75	34	89.5
578	92.75	33.75	87
579	93.25	34.167	86.25
580	90.75	33.833	82.25
581	89.5	33.917	80.5
582	91.25	34	81.75
583	90.5	33.833	78.75
584	92	34	79.5
585	90.75	34	80
586	92	34.417	81.75
587	92.5	34.583	82.25
588	92	34.75	82.5
589	89.75	34.25	80.5
590	89.75	34.25	80.5
591	91.5	34.833	80
592	91.75	33.9	77.75
593	91.5	33.8	76.25
594	94	33.3	79
595	95.25	33.3	81.5
596	95.25	33.3	81.5
597	95.25	33.3	81.5
598	92.75	33.2	80.75
599	94	32.9	82.5
600	98.5	31.4	87.5
601	99.25	32.2	86
602	97	32.9	87
603	98.25	32.9	87
604	97.75	32.8	86.25
605	97.75	32.3	86.25
606	99	32.7	87
607	99	32.7	87
608	99	32.7	87
609	101	32.8	89.25
610	97	32.4	89.5
611	95.5	32.1	88.5
612	98.25	32.1	91.5
613	97.25	32.1	90.75
614	97.75	32.8	91.25
615	97.5	32.2	92.75
616	99	32.4	93.25
617	96.75	32.5	90.75
618	96.5	32.4	90.5
619	96.5	32.5	90.75
620	99.25	32.5	92.5
621	97.5	32.4	92.5
622	99.25	32.8	93
623	99.75	32.8	92.75
624	99.5	32.7	92
625	100	32.5	94
626	99.75	32.3	92.5
627	99	32.5	92.5
628	98.5	32.3	90.25
629	97.75	32.7	88
630	97	32.3	85
631	96.5	32.2	86
632	96.75	32.3	86.25
633	97.75	32.2	88.25
634	98	32.4	90
635	98.75	32.6	91
636	98.75	32.3	90.25
637	97.75	32.1	88.75
638	95.5	32.1	88.5
639	94	31.8	87.25
640	93	31.5	86.25
641	93	31.3	85.75
642	92.75	31.2	85.5
643	94	32.1	85
644	92.25	31.6	84.75
645	93.75	32.5	87.25
646	93.5	32.4	85.5
647	93.5	32.4	85.5
648	92.5	32.7	85
649	92.25	32.6	83.75
650	91.25	32.5	82.5
651	92.25	32.7	85
652	92.25	32.7	85
653	93	32.7	85
654	92.5	32.4	84.75
655	91	32.6	83
656	91	32.6	83
657	89.5	32.8	82.5
658	89.75	32.9	82.5
659	87	32.9	81
660	87	33.3	81
661	87.5	32.5	80.75
662	87.75	32.6	80.25
663	87.25	32.7	80.25
664	87.25	32.5	80.75
665	87.75	32.6	79.25
666	87.75	32.4	79.5
667	87.5	32.8	79.5
668	88	32.5	78.5
669	88	32.5	78.5
670	86.5	32.8	75.75
671	87.75	32.6	75.5
672	87.5	32.7	74.75
673	89	32.9	77.25
674	90.25	32.9	79.75
675	90.75	32.6	79.25
676	90.75	32.5	78
677	90.5	32.1	78
678	91	32.2	75.5
679	92.25	32.5	73.5
680	90.25	32.6	70.5
681	91.5	32.8	70.25
682	91	32.8	67.5
683	92.25	32.3	70
684	94	31.8	71
685	93.75	32	70.25
686	94	32.4	72
687	92.25	32.4	69.5
688	93.25	32.5	68.5
689	91.75	32.5	67.5
690	92.75	32.8	68.75
691	91.25	32.5	70.5
692	92	32.8	71.75
693	92.25	32.3	73
694	92.25	32.3	74.25
695	93.5	32.5	75
696	91.25	31.6	72
697	90.75	31.8	71.5
698	92.5	32.4	72
699	91	32.2	71
700	90.75	31.9	69.25
701	87.5	32	65
702	87.5	32.2	65
703	87.5	32.1	65.25
704	80	30.4	58.25
705	79	31.6	59.5
706	79.75	31.9	59
707	75.25	31.8	56
708	75.75	31.3	55
709	77.75	30.8	57
710	74.5	30.1	54.75
711	68.5	29.95	52.25
712	71.25	30	54.5
713	71.75	29.95	54.5
714	75.5	29.5	55.75
715	76.5	30	58.5
716	81.75	30	60.75
717	81.75	30	60.75
718	81.75	30	60.75
719	79.75	30	61.25
720	85	30	62.25
721	84.5	30	63.5
722	83	29.8	61.25
723	85	29.75	63.5
724	83	29.75	62.75
725	86	29.8	65.75
726	85.75	29.75	65.5
727	84.5	29.95	65
728	85.75	30	65.5
729	86.75	30.4	67.75
730	84.25	29.95	65.25
731	83	29.9	64
732	81.75	29.75	64.5
733	85.25	29.85	67.25
734	86.5	29.8	67
735	86.5	29.8	67
736	88	29.9	67.25
737	87	29.6	67
738	85	29.5	66.75
739	84.5	29.45	66
740	85.5	29.6	66.5
741	86.75	29.4	66.25
742	88	29.65	68
743	88	29.45	68
744	89	29.35	67.25
745	90	29.65	68.25
746	89.5	29.45	70
747	89.25	29.5	70.5
748	89.5	29.7	71.5
749	91	29.9	74.5
750	92.25	29.75	77.5
751	91.75	29.6	78.75
752	92.5	29.7	77.75
753	93	29.9	77.25
754	93.25	29.95	76
755	94.25	29.95	76.75
756	94.25	30	78.25
757	94.75	30	79.5
758	93.5	29.95	78
759	93.25	30.2	74.25
760	93.25	30.3	72.75
761	94.5	30.2	75.5
762	93.25	30	75.5
763	94	30.1	78.25
764	95.75	30	81.25
765	97.25	29.45	82.5
766	98.5	29.7	82.25
767	97	29.95	83
768	95.75	30	81.5
769	96	29.95	83
770	93.5	29.85	81
771	93.25	29.95	80.5
772	93.75	30	81
773	94.25	29.95	81.25
774	94.5	30	82.75
775	93.5	29.95	83
776	89.5	29.5	79.5
777	90.25	29.75	79.5
778	90.25	29.75	79.5
779	90.25	29.75	79.5
780	91.75	29.9	79.75
781	91.75	29.95	80.75
782	91.25	29.75	81
783	91.25	29.75	81
784	90.75	29.7	80.25
785	92	29.75	80
786	94.75	29.75	81.5
787	95	29.55	85
788	92.75	29.55	83.5
789	91.5	29.5	83.5
790	90	29.75	81.5
791	90	29.6	79.75
792	89.5	29.85	80.25
793	87.75	29.9	78.5
794	88	30	77.5
795	87.5	29.95	77.5
796	88	30	76.75
797	87.75	30	77.75
798	86.75	30	76
799	87.25	30.1	75.5
800	87	30	75
801	88.5	30.2	74.75
802	88.25	30.3	74.75
803	89	30.2	77.75
804	87	29.95	75.5
805	87	30.1	74.75
806	87.5	30.4	74
807	87.75	30.5	74
808	86.75	30.2	73
809	86	30.2	72.25
810	84.75	30.1	70.5
811	85.75	30.1	69.75
812	88.5	30.6	71.5
813	88.5	30.6	71.5
814	88.5	30.6	71.5
815	88.5	30.6	71.5
816	89.25	30.6	72.25
817	89	30.4	73.5
818	88	30.1	71.75
819	87	30.5	72
820	86.75	30.9	72.5
821	85.75	30.9	71
822	85.25	30.7	68.5
823	87	30.8	66.75
824	87.25	31	67.25
825	86.75	31.4	65
826	85.5	30.9	65
827	88	31.3	66.75
828	91.5	30.9	69
829	91	31.1	68.75
830	91.75	31	71
831	92.75	30.9	71.5
832	93	30.9	72.5
833	92.75	30.8	72
834	92	31	71
835	92.75	31.1	71.75
836	92.25	31.4	70.75
837	93.25	31.3	71
838	93.75	31.7	70.75
839	90.75	31.9	70
840	89.5	31.8	69
841	90	31.7	68.25
842	89.25	31.9	68.25
843	88.75	31.7	68.5
844	89.5	31.7	69.5
845	90	32	69.75
846	90	32	69.75
847	90	32	69.75
848	89.25	32.1	68.75
849	89	32	68.25
850	88.75	31.8	69
851	88.75	31.8	69
852	88	31.7	67.75
853	88.25	31.8	68
854	87.75	31.6	67.25
855	89	31.9	68
856	88.25	31.8	68.25
857	88	30.7	68.25
858	88.25	30.4	68.75
859	90.25	30.2	71.75
860	91.25	29.85	73
861	91.5	30.3	74
862	90.5	30.2	73.25
863	91.5	30.2	74.25
864	91.25	30.2	74.5
865	92	30.1	73.25
866	92	30.2	73
867	92	30.4	72.75
868	92.75	30.6	74.25
869	92.75	30.6	74.25
870	93.75	30.7	76.25
871	94.75	30.8	76
872	95.25	30.9	76.25
873	95	31	76.5
874	96	30.9	75.5
875	95.25	31.3	74.25
876	94.5	31.7	74.5
877	96.25	31.8	75.5
878	96.5	31.8	74.25
879	97.5	31.7	76
880	97.5	32.1	76
881	97.5	32.1	77
882	97.5	32.1	77
883	96	32.4	75.75
884	96.75	32.4	76
885	95.5	32.4	74.25
886	96	32.5	73.75
887	95.5	32.4	73.25
888	96.5	32.1	73
889	94.75	32.3	71.75
890	94.75	32.2	71
891	94.75	31.8	72.25
892	96	32	71
893	95.25	32.4	71.5
894	95.5	32.3	72.25
895	95.5	32.2	72
896	94.25	32.4	72.75
897	93.25	32.7	72.75
898	93.5	32.4	72
899	93.5	32.1	71
900	92.5	32.2	70.5
901	90.5	31.9	69.25
902	89.25	31.9	69
903	90.5	31.6	68.25
904	89.5	31.3	66.5
905	89.75	31.5	67.75
906	88.25	31.3	66.25
907	89.25	31.5	66.5
908	88.75	31.2	65.75
909	87	30.9	64
910	88.25	31.4	65
911	89.5	31	65
912	89.5	31	65
913	89.25	30.2	64.5
914	89.25	30.9	66
915	89.75	31.2	67
916	89.75	31.3	67.25
917	90.25	31.2	66.5
918	91.5	31.1	66.25
919	90.5	31.2	66.75
920	88.5	31.1	65.25
921	89.25	31.1	66
922	88	31	66.5
923	87	30.8	64.5
924	86.75	30.5	63
925	88.5	30.4	64.25
926	87.75	30.5	63.25
927	86.5	30.4	61.5
928	87.25	30.4	63.5
929	84.25	30.6	61
930	84.25	30.4	59.25
931	85	30.3	58
932	86.75	30.8	60.5
933	87.75	30.5	62
934	88.5	30.6	61.75
935	87.5	30.8	60.75
936	85.25	31	59
937	85	30.6	57.75
938	84.75	30.5	56
939	87.25	30.7	58.5
940	87	30.8	57.5
941	88.5	30.8	55.5
942	88.25	31	54.5
943	88.75	31.5	56
944	87.75	31.7	54.75
945	89.75	31.7	56.5
946	90.25	31.6	56.5
947	90.25	31.6	56
948	91.75	31.4	57.5
949	90.5	31.6	58.25
950	91	31.6	58.25
951	89.25	31.4	58.5
952	89	31.8	58.25
953	89.25	31.9	57
954	88.75	31.9	56.25
955	88.75	32.2	55.75
956	88.5	31.4	55.75
957	87.75	31.6	55
958	86.5	31.6	55.25
959	86	31.9	56.25
960	85.5	32.2	55.25
961	85	32.7	55.5
962	85.25	31.9	55.25
963	86.75	31.9	55.75
964	87.25	31.9	55.75
965	87.5	32.3	55.5
966	85.5	31.9	54.25
967	85	32.4	52.75
968	87.25	32.7	53.75
969	85.25	32.4	52.5
970	84.75	32.9	52
971	84.5	33	50.75
972	84.75	32.8	49.9
973	83	32.9	49.2
974	81.5	32.9	49.4
975	82.25	32.4	51.5
976	82.5	32.3	51.5
977	80.25	32.4	49.2
978	80.25	32.4	49.2
979	80.75	32.5	48.8
980	79.5	32.4	46.7
981	80	32.3	46.7
982	78.75	32.1	46.2
983	79.75	31.9	46.2
984	80	31.9	46.8
985	80	31.6	45.4
986	82	31.7	46.1
987	82	31.7	46.1
988	84.5	31.8	49.3
989	85.5	31.6	49.5
990	86.25	31.6	50.75
991	86.25	31	52
992	86	31.3	51.25
993	86.5	31.2	51.75
994	87.5	31.6	53.25
995	87	31.3	53.5
996	86.25	31.2	53.75
997	87	31.5	55
998	85.75	31.5	53.5
999	85.75	31.9	52.25
1000	85	31.6	51.75
1001	85.75	31.4	51.5
1002	87.25	31.4	54.5
1003	87.5	31.5	53.25
1004	89.25	31.6	53.25
1005	88.75	31.9	54.25
1006	88.25	31.9	53.75
1007	86.5	32	52.5
1008	86.75	32	52
1009	87.5	31.5	52.5
1010	87.75	31.7	54
1011	86.75	31.6	55.25
1012	89.5	31.5	55.25
1013	90	31.9	55.5
1014	89.75	31.9	55.75
1015	90.25	31.8	56.25
1016	91	31.7	56.75
1017	90.75	31.7	57
1018	89.5	31.7	56.25
1019	88.75	31.8	55.5
1020	91	31.8	57.75
1021	91.5	31.3	57.25
1022	92.5	31.5	58
1023	92	31.3	57.75
1024	90.25	31.5	55.75
1025	90.5	31.5	56
1026	89.75	31.6	55.75
1027	89.5	31.4	54.75
1028	88.75	31.3	54.25
1029	88.5	31.3	53.75
1030	89	31.2	53.5
1031	88.25	31.4	53
1032	86.75	31.8	53
1033	88.5	31.6	53.25
1034	87.5	31.6	51.75
1035	87.5	31.8	52
1036	87.5	31.8	52.25
1037	86.75	31.8	52.25
1038	86.5	31.7	51.75
1039	86.5	31.7	51.75
1040	86.5	31.7	51.75
1041	86.25	31.6	50.5
1042	85	31.5	49.8
1043	85.25	31.4	50.75
